"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"S1",42708.14075,38301.3086989118,62429.4150000002,96000.2061538464,38549.593448719,72848.399030068,42426.0039000009,17839.5273662257,49741.9599999993,99627.086222221,11637.9248643689,55258.5850000019
"S2",9186323.42755545,15385777.92,11478035.52,7918950.08000005,7514303.67999995,25442440.4795296,8524516.23665087,12256862.5005716,41646091.1221623,22769167.2159998,12875120.5352727,5538046.71999993
"S3",1591607.62200001,1039410.40000001,1131453.43078231,1038709.28,234525.626324721,608189.11600525,3881899.99193024,1262367.54789594,1422682.82400001,992948.679999993,394199.732638573,154543.702375717
"S4",15316581.6035559,10722128,7102245.43999995,6824000.95999995,2976979.28716343,3789205.06470467,10083426.8009217,7774931.00750226,10170594.5964512,4685797.10941575,2902527.37022284,2466654.06327146
"S5",75256.1549999993,37395.7903728895,56662.3900000003,45769.9899999992,29995.7724063757,26323.1259825984,41301.9149999999,32147.8667061166,45602.5349999994,68221.4799999999,8313.91657921834,38628.556386501
"S6",3284718.2541081,3291032.38064105,2889752.60725714,800783.339571416,526099.790000001,1395203.00340002,3322906.84845,3932157.44151281,1508679.82133333,1883523.63806897,558934.494222216,1554520.73344443
"S7",1105390.02971429,472206.44805,764436.6686237,222883.994666671,544355.492675678,528935.57277778,1144580.44479999,1101939.19815,254018.279999998,563309.598264709,515949.153028627,462527.544702416
"S8",48324144.8519998,44907228.9010529,38129952.9476571,24566921.4246666,24921665.1604445,21821538.1609143,50965240.320842,53262282.5877897,38461990.2028108,25434216.1316571,26140855.5638858,20137462.746353
"S9",13787716.820027,12413108.9897028,10942060.4217778,6795569.17439999,7044645.04442859,2140319.90400005,14474090.1912564,15057317.9443159,10747816.0695555,7323145.10141666,7503528.54360002,5878473.04800001
"S10",2309897.94836364,1677126.94304001,1954824.9028,1420245.15608333,1429363.99942424,1346006.87821621,3641315.97795122,1997674.00737501,2117929.82981819,634080.45866668,1600168.18435136,1261980.87459999
"S11",204543.844349982,127488.094543182,153539.150818095,101485.084289052,72731.5621638062,69689.7595552657,129571.044999999,210720.163157894,99934.1652779342,116015.572307693,109080.82067229,57944.0878798609
"S12",42881.8682873146,88615.3341538464,41311.3050000014,38368.4551864546,40095.5831111119,47006.3399999999,2120.42462102422,0,11778.4970509988,10243.4410242286,2888.5113429985,6788.54226587997
"S13",11275649.7200001,5131341.17876479,2443867.17226957,3293181.6048164,8335183.78852167,5624245.56799999,36141998.6104241,1961755.73508537,3310947.29081456,4292344.93764968,7706061.53527275,7808922.86763638
"S14",7094582.14283288,2660647.62285182,783086.955042845,998491.414750458,2340526.64399998,1560252.52631579,9219730.43514285,1145123.60905407,1011776.72951986,1255590.88323211,2221906.24133333,2241262.79723076
"S15",1081778.84868932,93781.8979450632,184078.264369487,213777.93070838,198805.079999999,401591.642831748,1837432.27365517,79476.3391290022,258023.42925241,228347.285108295,628464.047400001,357991.803076924
"S16",116865.777699594,135331.810000001,185802.358318182,61142.9850000004,44676.054999999,68908.4997857146,90516.0317142872,165598.909999998,61346.1611666675,48496.2199999997,41284.6999999997,43578.9900000001
"S17",159756.591067203,74678.6699999983,116725.824000002,184659.003466664,45662.3565503105,74706.0622882703,72573.7449999999,215239.145,80719.3623713256,93918.7799999994,60290.0599999999,58022.3749999996
"S18",379052.708000005,474758.399999997,216358.120000008,32035.6235549322,178701.089999995,137026.704999998,368609.348191959,692593.880000002,1126070.20003334,144180.319999997,366003.478133336,221093.810000001
"S19",52820.9491666674,130048.370000001,142251.253812501,32489.4026229473,17921.5589509615,13970.3699915271,72934.8617142869,78719.4999999999,15321.4882931069,23179.2149999995,26653.3771491677,14563.4542700221
"S20",256273.870422995,379259.92692,163210.720000001,57499.4807317424,83873.0450000009,90729.5558778969,233264.844434656,547948.08227586,129679.711428574,96573.5057559564,100605.632194157,37896.4749999997
"S21",81031.0049999999,105853.470000004,75672.116612252,41910.7000000015,61894.1849999999,66390.8825000014,36383.1648000003,218909.069999999,0,7208.28492763146,85046.7949999988,38189.1299999997
"S22",30267.1000000011,32195.1799999993,38673.2139028789,33100.2974506336,33140.4399999996,15183.1969873217,34597.4549999995,113696.905090909,30600.4449999998,13756.5973795198,28617.5899999996,32938.5549999998
"S23",194348.565656462,247542.309999999,164688.084998204,103718.53487811,126769.694999999,163163.513625001,143794.04643109,468625.165000005,180322.716367161,98702.1769213187,200164.596992534,122755.335314426
"S24",24773.9499999997,48558.8199999999,31833.6650000011,5216.9016584443,5696.47832345101,17230.0049768041,9871.49436108879,124148.32,7957.35270925668,17661.8856889523,0,0
"S25",207974.821528306,229288.181164126,181254.908,117587.175648797,518084.469656247,174547.6165016,215648.72207143,291715.745846155,223637.986134394,56915.9199999979,177401.846672234,180670.253511649
"S26",23216464.135111,6967291.95473592,1008257.8106355,1339456.27796888,3298220.08533334,1274220.85344977,13865211.744,6677850.14076204,1044075.27785768,1231768.86459533,906372.879999988,2362348.48266667
"S27",2491296.63730769,926917.7112165,412259.680498048,70548.6572615309,57878.3949999992,76369.6333222515,720700.188444459,1999723.37587879,259871.380000004,101901.783135751,237931.053688279,147280.861964384
"S28",47308.7611428579,78406.4999999997,21935.7128186797,19155.8962186228,21043.4304000002,16571.9469216598,40951.3549999999,4130.17393106247,62737.28055,24792.5278175929,31249.9199999996,114808.4
"S29",48882.2636666673,37487.6770483648,55498.0299999987,62329.2549999992,0,25549.3260330044,40169.9043900851,36401.7874287346,45795.0786706406,64850.4699999996,53352.0848020003,22418.2268268316
"S30",20736187.6296972,24361047.4206317,22068719.0266668,19638474.448,11713979.9270131,13006809.175491,18690013.3587292,24660681.1271352,21586358.1776842,18957592.576,12950057.8375843,62139.8899999992
"S31",76129.2657684481,134701.115000001,123820.886285711,63707.6899622595,126791.907631935,27590.523942043,0,157539.16,86884.807916512,42985.8550000015,127018.53,54992.9833248276
"S32",226862.399999997,891534.80055,438550.559999997,388736.609999998,709512.376000003,767440.734399996,934121.598666677,418753.155899997,1087722.52975863,712511.338846159,713255.344814813,400858.176000001
"S33",103574.899256115,149126.191142853,147110,47736.8056666673,43807.4800000015,103460.145749998,70423.2524722884,211656.860000001,146121.518896796,98206.4320519784,176281.601999999,145063.060266668
"S34",21290.2600000007,14300.3456890584,9865.29636865746,7927.27170611059,4056.22853966191,0,28781.9149999998,30093.7677142862,19049.1799999996,18499.4247522248,5508.21974800071,4168.74517951712
"S35",381784.879999999,878240.293411774,1511025.72012,797661.720000007,303548.193000006,300034.799827633,377503.039999997,342523.459941564,1419864.47963637,1815052.071,95353.4500159708,226730.409613468
"S36",46843.5799999997,27445.4049999994,56351.148749999,44531.9103658701,129742.82244,40455.2499999999,90321.4552500017,77400.0377333324,64816.0400000005,0,31038.4691666671,44533.2127499992
"S37",23891225.9260554,20321598.2933333,15875375.5216666,10695758.5772813,9888654.36384001,10252747.2235313,3827943.5662223,24658066.043625,15493489.6246154,11264623.566875,10888520.7114286,8307055.07039999
"S38",7492221.83145716,6212887.93230001,4882194.25266663,3275438.90456248,3088794.45525927,1873801.33415381,7138585.80893338,7328222.47542853,4987886.1703125,3297328.1061786,3390530.78232256,2790107.32846153
"S39",428722.359999999,1431309.08021951,1023810.91663999,210048.476624996,300185.377599998,376794.375333333,384538.581777786,748447.935384617,1009122.1392963,667271.430692313,133907.955428574,186673.791199999
"S40",8040.83629201218,84459.7085454543,49239.5950000017,26000.6476899089,32024.8014285706,35803.3866666671,34172.2919825378,140069.358000001,47248.9149999994,36207.8399999995,34533.3016636763,83129.0217083338
"S41",144380.639999997,116201.393666668,153094.559999998,78100.7328000007,181909.415600001,164116.143946629,87759.3323806709,137250.490285717,210534.755,131354.282480933,121641.129337594,124711.72
"S42",1879910.89279165,1757150.9648,1515713.59982609,737833.334999997,1383416.71600001,1135590.10516667,2076904.71787499,1593088.56,1810112.27608823,1507943.06947222,1533767.074875,1354004.93486208
"S43",189610.957374998,140059.675,101322.795000001,74776.0510909108,86552.3250000002,164383.223333332,216698.969647057,125815.045,223325.098464286,90850.3829999984,199675.189407407,93594.8250000002
"S44",11372448.6034286,6072752.8566154,16920644.0614194,8245494.8513684,10833677.0681905,7426692.59499993,7837720.31999986,10570956.5625265,4224848.95999994,6240202.96533326,3940895.35999995,13696151.2193104
"S45",2454741.69035297,1969469.04873684,1448559.07440003,1318086.97788888,1904882.4610909,811782.036000015,1248630.81142854,1464839.99999998,1209242.40666667,1540574.3388,334141.132800003,2354715.7341724
"S46",128799.866833329,183948.534999998,303480.260571429,149231.588571426,109490.529999999,152974.355624997,290483.120181825,163435.96681578,146061.449999996,97133.8125714301,86461.2370642496,209409.519999999
"S47",2977330.14015998,1916951.31818519,2777386.0937143,1488828.32842105,2230864.04525808,1561967.6987742,3139638.35815383,938424.080000002,1436120.80609524,1493501.26126315,1756112.15350002,1461715.09092
"S48",414471.028400003,348621.92316,305918.496857144,157556.4115574,149347.95,191744.162259219,564190.544076921,208431.334010048,195862.940981342,92926.5699999983,328282.558214289,111276.194999999
"S49",161250.222990365,1601098.06534615,65656.4450000023,178505.457999874,77285.9599999995,28031.2860000005,165809.381466668,1049818.45772728,1282022.96000002,417812.814222217,303607.323428576,66864.6249999999
"S50",378295.984551724,137115.91,185671.102833333,43913.8999999994,91056.7808977598,105770.525000001,510123.984827586,169455.069999999,107066.345,82276.7864933023,90761.1255325032,108183.754999999
"S51",293268.694967743,96267.1579581274,91920.2750000011,28903.985000001,73972.5313043496,115591.004666667,268961.563958335,151084.027670175,89833.6063636361,78113.8553124992,61639.4084444437,130229.64019014
"S52",149062.881081099,181651.114999999,185094.982588234,42719.9500000006,66326.1891163657,52149.9222222216,101249.38685714,194162.3455,287130.002914285,51536.8874300525,66239.7721760709,82290.1692183807
"S53",82845.1019999979,74601.9849999995,30831.686052034,31997.9899999996,125702.887636363,119103.666,48191.1456000004,127253.90925,86316.1413333351,61343.6444444457,187229.122500002,0
"S54",46778.9872000003,36941.061399315,0,0,0,0,31144.8778333337,43032.8049999994,31907.801090078,15840.3845339986,22996.3008000002,5452.7332443599
"S55",25769.2900000009,51432.1599999999,24539.2000000009,0,12537.8418749998,15243.8736106493,25920.8665999911,34489.4700000012,22936.0836107672,44632.98825,15116.0622005667,13786.1929867999
"S56",715015.377874995,646285.766357146,384758.145468483,580131.518823525,640185.674785717,437120.387199997,341739.762285706,190581.346500004,215181.240000001,217622.639999997,172788.802875003,1034399.06968966
"S57",61457.7590541529,66796.6461227285,74889.9449999995,77896.3099999999,70939.139103531,69358.3897499988,106137.950500001,52017.4699999993,89377.8356250017,74660.7822180018,69115.8341249988,215168.105400003
"S58",93824.4782222211,97560.5606999993,67949.5228999995,33153.063428572,67496.8849999999,50291.3788571437,127987.233846154,36113.9399999992,39614.8450000014,20219.521932331,48507.4417142865,0
"S59",1602404.51961113,791160.793777787,1168017.32117646,436686.069321428,348707.04,264519.42666667,1800635.13504546,573104.564999992,653917.95273684,144427.857333328,359431.624916667,262839.039099998
"S60",469253.286499998,157537.595,270258.285000002,58706.2799999992,191188.225000002,150113.531555554,284626.55,321991.5924,205895.148800001,72812.0688749987,118588.844888887,161393.754999997
"S61",109134.530722222,39222.0299999997,80482.9564000005,10737.2980616653,56873.3172631586,15362.1462842619,63392.3628571439,30988.5649999998,0,8660.25356473114,12273.2672116235,9716.95666274175
"S62",305455.466666671,642582.74000001,794756.639249992,228565.120000008,190103.973860694,264309.72,453686.53671136,599264.81066666,244740.959999994,277343.039999998,135741.771106169,469006.78960001
"S63",149113.927636363,38953.6864829633,158405.406382984,70007.1449999995,95893.7913846156,67690.9450000006,163076.836,142090.593428574,120869.380125002,82398.8149999994,0,78249.9999999999
"S64",92370.8246671908,329113.24,235739.788545666,127650.789999998,168673.282836142,114579.83154226,211764.206122089,267915.480000009,215243.84,151712.664999999,21636.8343258157,322620.074409092
"S65",20839108.374,20892094.4378823,13473088.1950476,12934464.1750588,12233706.1546666,9839866.16377145,23980463.7555,25473440.5755428,3404037.75999992,6300464.63999991,2772174.64319986,9976168.56516132
"S66",4586723.02147367,6066059.88018747,5355428.9565,3970988.15717648,1478699.64,574329.959999987,6881575.30974192,4430400.66000004,2875092.79999998,2276812.08000001,1302162.82311114,2407004.8526087
"S67",969441.076210524,219257.753662501,314302.014000006,294533.000000001,362210.079733329,241841.015000002,514215.043090921,186435.32,192342.872032367,0,0,153604.040000002
"S68",143516.760000001,238531.039999998,229659.812470591,129203.767130643,82625.7399999995,112922.781552191,76906.969834888,76861.8450000027,135325.747461388,206408.114818182,60959.8799999992,108886.440000001
"S69",208656.755000002,282045.865,202011.22523077,70838.7614999987,137215.923818185,69606.257777777,136800.859666668,101958.089643493,200188.792714287,73051.0699999999,98823.4900000003,75924.0295871637
"S70",20008875.0568,15018549.7085218,14373408.2222857,9388010.40929031,4101451.8399999,2943401.9200001,14494367.2522105,8283632.64000002,6692535.136,7941969.04327275,6988839.28,6400895.892
"S71",4711268.7984762,3623970.34000002,2566247.11000002,2548893.05999999,1280207.56000002,2135875.0029091,4546567.8576,5820114.65811427,2376469.59247061,980901.206999983,851059.519999988,1395087.95
"S72",451649.610000004,256647.480000001,665660.320000001,186845.450727272,518593.824692312,172973.369,466853.487199997,340356.19999999,158670.720000001,133546.006333335,18873.9264401519,111940.685241056
"S73",57638.9500000003,71185.5899999997,44750.7303750008,13911.7280601045,18365.0997044953,17294.60612185,81019.625307891,45671.3950000016,58025.5050000006,32565.8120926475,23179.2149999997,20505.2200550547
"S74",17948820.1166668,10333047.2191999,11117259.1999999,9309174.9461334,14020819.6340869,17169005.2430769,13245759.3600002,3491277.12000012,3913651.83999997,14727962.5021819,5403687.33439996,18285145.3724443
"S75",3655698.1608,4234138.74699997,2765945.65449997,2210004.73750002,4361991.23026668,4157253.48562858,3862195.25200004,2768592.41706663,875122.959999994,2231643.7392,3845239.02841026,3530935.67999999
"S76",649691.129142868,1130295.00906665,1195134.16000001,1935212.71513044,342234.200000012,401992.159999995,863422.910999985,350410.650413996,310170.479999993,902572.514461541,336913.199999995,499923.600000017
"S77",6935278.72000009,7350507.0582856,12388547.4027907,6117772.68553851,8369459.00307685,4713514.77942859,11405593.8868966,8788715.28689652,8216400.53228571,5403887.31046158,2985168.64,8031198.82529031
"S78",1638066.72000002,2538430.28815152,1264119.36000002,800251.583999984,1158523.57013245,1247078.93680327,1834569.97150002,1913366.07288888,2540310.22865454,728755.937142861,1219298.91188501,1197379.7872884
"S79",118646.085172334,35966.2666656762,45814.785629606,29368.4700226686,4678.21024939587,3631.47553677193,130545.883076923,34866.635,74828.0553333333,14967.8354018776,26963.5397114508,24146.3849999997
"S80",120595.770000001,46110.9438333339,92408.3291666666,56465.3356610351,32782.0549999996,62261.3144001227,207908.906227273,94793.689311455,63132.1984216666,34569.2849999998,22935.0750000008,62088.8503734634
"S81",191228.915000001,281795.122928573,282998.163809524,46956.5183999977,106127.345000001,136082.580923077,175300.41822222,176780.834999997,309240.316137931,119894.081337419,138237.48,115906.297272986
"S82",12929.19740685,20343.4350000007,19744.0399999995,28509.6049999998,12551.9745477263,5469.44796764476,51444.6799999999,9478.58883765087,15602.2833516142,15704.4906521969,3152.46811565776,7901.61972602387
"S83",1566759.78000002,2023338.40307142,2034991.77309089,3555082.9313111,1459030.71999998,3027647.112,1286530.16000002,1839449.67162068,525821.556000007,3223142.53863829,1272695.56000001,3058628.94311109
"S84",0,173691.927461431,66587.6199999991,130393.838511964,154590.691047619,76735.0799999995,255111.416437502,122821.2,127955.20152381,96337.6897777797,101112.878328168,64500.2817142841
"S85",189342.448284256,627974.676263492,673229.24727346,273347.86704802,479783.50646154,476198.311937416,8109.48827249591,6579.19129537224,57753.276749999,69983.5597848296,197470.386285714,81977.8299999999
"S86",18386548.0564849,17834308.9711963,15970486.8710303,14737535.5090296,19209625.9841951,18677919.5001905,17051094.864889,17929971.3183341,18061602.6634379,14967198.2112572,19015208.9642927,18301276.476
"S87",5583258.55422224,5002577.99293187,4231640.23979854,4007232.51573116,5594616.43755004,5508598.9608,1797343.98640004,4845683.79921825,4811234.38625732,4068746.44439596,5447069.3715122,1549600.4
"S88",1110931.83835715,119381.681574173,197945.528245419,253161.463946618,1593754.8923721,398980.529999993,526541.532785178,124763.634335874,236462.458363636,177765.220000006,585996.006041781,496641.536612391
"S89",285766.310390054,108723.680000004,319835.919999998,64396.6199999999,442023.186396959,255190.542296884,290746.390802173,708533.927095639,437381.139137314,575230.102766667,404958.562400009,303502.015000003
"S90",87514.5155673344,15031.6208123612,120940.07,70558.0454626467,162788.169999999,445855.802111109,196595.3,6122.39786748848,38846.6103214602,96823.1612497398,141186.475000005,226404.742386574
"S91",12967.9252746446,17612.0433651465,63513.9009616428,45600.9918435193,119001.035000001,60131.6532844623,14395.197925899,86455.295000003,25289.9833784976,61847.4891182334,107564.014999999,60099.1299999996
"S92",190566.919999997,413244.626823534,19179.9190588237,54981.1966000012,230283.061363637,166461.886631581,10719.8218749999,31474.0229999997,21891.9621176465,7039.10541176478,7131.4369411763,21178.2991874998
"S93",154046.871333333,382738.25655,287770.101636364,66296.4012307694,49500.9500000017,94766.5413333322,108590.655000001,272320.955000001,137494.453944444,48346.5354999988,25406.5261538462,96555.8050000002
"S94",110766.276249999,128705.006333336,36320.5200000013,35457.252444444,27765.2602857136,38181.3050000013,65910.4726874994,105623.414999999,42627.4699999997,7256.13216666676,24741.9562857157,16549.8750000006
"S95",37035.7249999991,85599.240000003,117381.787944444,0,1240.94587500002,13364.0325000002,72691.5176470596,47270.8249999989,33696.0149999998,6132.74512500011,8498.911555556,0
"S96",6002544.98000009,117812.367789475,0,9938.78574999976,11531.8709166669,23450.1627272739,8412090.6080002,80004.3649999995,263081.194999998,21426.4149999992,10283.0674166664,34001.1900000003
"S97",368604.450000001,35323.5202857163,22798.9200000008,1331.6934285714,740.177428571471,11185.0549999999,647507.794999991,30730.3399999998,20207.2799999999,6278.2068571427,2182.97571428584,0
"S98",545754.624999996,1790660.10092308,2685627.63999998,5294165.87657145,7777649.3599999,16119739.7195555,287969.389999998,1638843.27771429,3705243.91999998,3626392.96000013,6164848.00000002,7006181.994
"S99",47565.0450000003,78781.5341666677,188391.570000001,236231.044399998,1595859.75481396,241139.895000001,14626.4899999997,120475.391399999,249667.579999994,242620.385000001,549405.091999996,436214.310099997
"S100",5505726.38060489,7721033.92,5917540.43999996,2437460.88906328,1631817.17961719,1589600.83925998,5338027.19999999,3771083.8533024,1825315.84000006,4435763.62666661,1104154.55610913,804309.839999999
"S101",105853.470000004,378072.504842104,148543.539999999,119470.433083333,102552.885000001,82457.1253333324,184205.195000006,400497.584999999,358582.414719998,151048.155272727,60820.5949999986,10989.5822250157
"S102",18253.7808333336,13940.8763515042,27617.555000001,52068.1553473036,8950.05273672807,32581.7349999996,23170.4202795482,24434.345229927,60487.7258208808,74254.7165609154,73880.5200000008,43630.8674703022
"S103",8623226.77536359,15941138.9165482,16325294.076,14271045.3992727,8693351.90536338,7752806.85944249,6146129.26405528,16915367.3115152,17104240.6503784,3872486.07999997,9333499.41474797,6869710.35818643
"S104",57640.5757087589,353866.845000002,430530.37426667,161693.292500004,107171.3752806,66313.8776918176,23580.0332188989,425151.53145,231423.593142861,178891.196233398,75129.4211032994,83601.4764391827
"S105",13645.2759725325,66261.1017568349,85434.3693673691,51302.2649999999,5782.48020890527,10663.9579900353,7714.55768926492,65399.7849999996,67243.3549999995,52716.7863000011,13337.9784030581,14382.5352268207
"S106",1801322.1834621,4632426.05483968,2080520.09099996,1678948.81305464,4005132.7164,3719333.5709091,1525423.45296692,3632302.39999998,1862716.78991424,522697.2831972,1806786.23999999,2542511.74399995
"S107",176800.273863319,221482.38710111,245483.204834968,184544.799999998,171871.430000001,138431.636000003,135908.948718624,100225.476199332,0,292808.369999998,116282.198666665,90760.610000001
"S108",1014048.67542858,10183243.7346667,7200951.54599999,480968.319999997,153751.860000002,232869.904666668,1306080.84053332,6998379.52000004,2766918.90857138,1310041.73672727,156525.040000002,359358.429999999
"S109",6049.32350000001,211200.13090909,44014.0600000015,18826.9499999996,82261.0950000005,23946.1344000002,12516.43525,92015.7399999965,33839.9950000012,19584.4100000007,34857.2449999987,13335.3650000005
"S110",242119.267157894,691546.71015,568122.843157893,245806.283157894,226131.764842105,372152.920695654,310543.460947368,1976871.25270587,1382499.54442105,509918.367888886,246084.843789473,527106.575821434
"S111",37902.7349999997,206869.490285714,84704.0599999992,41009.2599999993,37994.4278181817,58246.170000002,90172.899166666,258889.170545454,176956.115000002,42614.9499999994,43626.5356363635,70532.0459999988
"S112",0,241494.639749996,19739.3450000007,0,4995.47999999988,4705.95499999989,4585.45000000016,114849.234166667,32659.9850000011,4416.4299999999,1153.40499999997,37735.2799999989
"S113",6288687.20246155,6839212.75999997,4826548.27323078,3337955.88430763,1410280.86549713,2525607.023453,6029586.35866666,4811097.96000005,1463843.01767978,1954535.06160004,3499740.64000004,4357560.96000005
"S114",1343537.29533333,1517167.33999999,1051184.43042858,719573.844920443,308716.769970331,551257.745931759,1559236.97599998,730416.800000025,401893.026956465,641521.365599995,688650.952435268,883021.916619844
"S115",3865874.34857137,4487743.91999999,3152329.77899435,1616020.35942855,2647529.28000004,2258780.3417143,4085377.48971422,3349688.44000005,1812512.78578244,1470129.67199998,2092743.04000003,2274345.64000004
"S116",883892.909402783,911319.56634783,744529.552799991,334945.044490603,293967.612410359,309951.349771927,846013.661499996,739082.204999999,338113.403420257,214893.279999999,358191.095020737,417000.31606113
"S117",392979.822208384,251493.935000002,328746.035677513,84406.710000003,30825.5838249743,59521.6706214319,529075.312941173,130054.510723237,200209.295983414,144819.975807692,48404.6010776616,146995.755000002
"S118",135221.87323077,7133.53721422344,77065.0653999994,42877.15175,10614.2206240154,9574.61368237071,118079.222166667,46228.5349999997,59474.4637572765,32312.1284170665,20477.3780936875,22560.0133008528
"S119",84515.2645854199,39813.5999999995,48287.914795752,35392.0614974521,8693.60389278256,34021.1611919708,112211.211499999,82794.76,88623.9755625008,24341.2371713539,42829.2237591502,50837.6437059217
"S120",142735.452888888,149457.647238095,78216.0999166666,56483.5628337443,34161.6764894942,31102.4074750551,195994.008421052,146186.65,31878.7401764694,51548.3263650676,51119.1599999999,38832.8232346619
"S121",527909.756499995,643509.219999999,519725.038153847,587821.826298976,577618.025000008,413148.171614771,456743.182714288,470905.369999997,300548.478963806,564758.978579283,487054.097860429,720831.175000009
"S122",3533782.51999992,5064963.07093337,4146843.72705887,1567988.08320001,869439.747555545,2155368.06799998,3235168.00000011,4255823.43999998,2707412.44000003,1473228.39999999,1269202.48,2595245.76000002
"S123",66819.6035295908,86613.0234545452,71075.881971729,18567.0854128526,36822.8850000001,27572.1699999994,76343.83,65284.6197101312,65235.7730920331,16169.8529557975,29636.4640057041,49476.016671259
"S124",10541.1264672122,72195.73725734,39043.6439963911,28407.3792000003,65356.8289999977,92139.7470999993,14209.3340991544,75477.0827517704,54374.3599999996,72824.7230425256,109215.755999998,223910.002038461
"S125",164284.309999996,729906.977264704,454112.537785712,164694.34,171353.812499997,258703.890000003,151349.585,699780.557777786,145313.380000001,396621.821647056,173330.88,395477.79407143
"S126",192238.34,117575.800615385,165325.034999998,147082.910192307,115114.176615385,110730.010000001,305401.924999997,192048.924923077,74910.2899999995,82510.5692307694,62468.5993846155,176860.208045453
"S127",43045.3249999994,25376.0129999996,38325.2849999999,14727.0386249997,30155.1412499995,23113.485,49781.0849999999,112528.46275,92063.8343478259,9996.42150000019,28576.1823749995,23010.1949999998
"S128",63261.9950000002,120443.238222221,60869.1100000002,70898.8559999992,62813.0751111104,101615.450000001,25573.6650000001,251358.696312498,25454.7249999994,77033.2204444435,55335.544875001,114370.200000001
"S129",20442.0299999995,59661.7434285699,39666.4900000014,0,101380.885363635,28949.370000001,5078.42499999981,66838.0199999991,13800.1699999997,3446.13000000012,23190.3360000002,33824.3449999995
"S130",135214.434999998,229982.398699998,177960.844999996,54064.4792727285,58372.6739999998,83319.0350000005,73428.2350000002,554482.761894735,213675.468190476,83259.5650000005,69509.7281999995,104376.811833333
"S131",28601.9399999989,306575.616000003,23870.9449999994,0,0,3522.81500000012,45087.6500000016,66584.4899999991,55058.2649999993,12299.3280000001,19283.0304000002,13638.9750000005
"S132",190685.86,315639.653777774,551393.320000001,1435616.9175814,27501.357333333,33871.295,41247.1400000014,283966.12,503291.479999985,237573.062999996,27941.0911111108,25783.375
"S133",57776.6699999987,206855.440000007,83725.9349999994,10651.8205000001,0,0,15189.8899999998,144926.824999998,23498.4749999997,4854.11300000006,24766.617166667,10072.3400000004
"S134",7065710.4023571,7801696.39227777,5474207.51228571,2088876.76942857,2693564.57361289,2576439.35249999,3746133.25892857,13131367.7315294,1348779.6,2203507.27342857,2232307.2112941,1891235.8152
"S135",1556362.2891111,774850.279999995,1206271.69733333,455657.049166672,754794.292640005,709293.890208328,535388.285647055,2967197.26444443,265236.17411111,218234.176941175,467844.64466667,589309.564499997
"S136",0,235513.676000003,36760.2850000013,25226.8995000001,0,1006.29499999996,20720.6000000007,77982.3850000011,23819.3000000008,29395.395000001,0,5541.66499999979
"S137",216087.528888888,1608834.64658822,122073.129999999,125571.435272727,0,0,158193.33,424538.706666662,140696.629999999,87451.3067000019,0,40601.5663636362
