"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"S276",88187.7499999994,67053.1083333342,58043.9222699242,51928.2650000018,52587.3541187951,16513.5274225611,132644.824363636,45269.1823207785,76860.9824888857,64124.9980307903,28229.7321047483,54769.9390611025
"S277",3689827.70892855,2971100.96474073,1738164.12,975717.527217395,409979.920000001,547702.577120575,3335052.56000001,3894479.1917037,1601946.52000001,909681.526588229,1129480.4188421,366467.49025
"S278",944871.880000001,818871.230105261,564554.763157893,168728.91,109697.11,78334.5100000027,1136883.97152001,1140022.31243479,378257.369999996,249308.594305857,239819.911388892,61896.9824999978
"S279",1153822.85500001,955603.14104347,858512.257090918,548488.398999994,603865.777208329,717185.869888886,68807.0881000015,104870.650000001,51277.2249999999,92037.6500000001,89229.5119473758,73107.4255999991
"S280",27246.650000001,315543.767733335,23895.9850000008,0,0,0,0,10618.2265417931,13582.9991871366,0,3284.89281339917,11620.2204776638
"S281",392517.093083333,247484.047999997,160337.417954544,14251.0635250319,243587.555,219060.874999999,117828.311732464,22884.4722682477,90070.4449999994,42523.7687906199,280290.803899998,2193648.42986668
"S282",35696.0850000012,51688.8199999993,33737.1889517797,9802.56787201777,68262.1700000004,55336.6368433934,59220.528979174,2912.17798739758,31320.1421432317,16164.6431975993,96355.5876999993,352542.005318183
"S283",70676.067809831,89001.5499999999,2358942.94826668,1500484.44000001,1005706.56,187419.424315942,76969.588052012,82883.6988234661,1911828.94902392,2622107.0505,1923172.21460914,187072.981874997
"S284",65465.9598243805,69123.1916196628,715471.523587359,4914285.49277779,515267.929850979,104308.390744234,71667.321035294,41945.2817777773,2347324.88319997,1098349.51985437,2795647.31963633,143898.085636363
"S285",33548.6060834163,20738.3044413395,287943.198304261,1148991.60851282,201885.588218922,11383.29070175,42314.9661025164,26463.7384167298,564799.8447,75811.7300000026,786895.51503226,63830.7100135368
"S286",102211.916646608,56232.2858333341,1565996.20435136,1286488.89599998,1037724.46606883,273284.995,117171.665537493,118585.817415254,3089225.38971429,1342244.4901166,2688497.20800001,275712.220677074
"S287",21735.5901683035,20619.0072686955,27069.3769441924,38663.8660514553,66280.2574715284,42335.9695882696,60669.6081000013,16781.5552674369,26590.3631563234,16729.7694808242,77658.4299999995,64769.0899999996
"S288",65831.7250000002,60919.5595555568,137075.850599999,478901.826000009,388075.300801602,113868.227166668,0,5013.16482897069,332177.890074762,3885779.51162791,391073.911636362,227231.267031078
"S289",1123712.23821309,2529617.56654546,2004683.45574999,921809.953759995,385766.239999995,300786.003999989,1989890.97999998,1683364.07999999,1020855.6603077,417917.600000015,384764.639999995,244866.159999997
"S290",55305.7199166667,32918.2099999998,20218.7776311453,34706.2728219264,27256.1277987675,29331.2360000004,12641.8958634411,15431.2268779155,1962.40439200875,0,0,0
"S291",125232.046833329,634612.964142847,704940.176124995,250426.891733335,60122.6049999986,105582.434666663,858659.159999997,805787.981142861,214874.551125004,251000.338526857,296592.733873788,138555.71
"S292",32382.9799999996,32777.3599999996,20665.7129206858,0,52720.1549999988,6274.35088269555,47167.5349999989,64107.0949999999,0,41134.915407611,32151.7809376134,46981.3000000016
"S293",90278.5899999999,38740.0455000007,27770.2717500005,21193.669778058,7427.21209980483,13378.9829852743,255426.744615385,86566.3356404524,25424.1191582391,5806.89272303582,6316.55188199709,15509.4157283724
"S294",2693274.25055999,3219319.90495998,1577060.08094119,2351305.22901695,2506836.55904347,2681450.37129729,3080578.50215152,2181497.32,935288.666400006,425667.479999997,2469372.32541178,3178423.66479068
"S295",472832.891999997,384880.449999995,270429.151020564,271732.515000001,179206.584999998,168585.480000003,386520.026181817,583440.562399997,142771.072888892,85062.445000003,192341.63,292948.853804139
"S296",72043.7198181816,43064.7332727271,27138.0225634435,29028.6800920058,21666.1020135386,32417.4099999996,49919.2269047453,65905.2800000004,28841.9079087501,17406.3438646231,4318.22128105223,36642.9100000001
"S297",376625.342153847,343536.280000001,237385.969593526,208622.528862813,74517.3408000007,216783.799999999,789764.100230766,452172.320000004,182326.716000003,85865.2899999988,160741.149999998,192668.041383127
"S298",74227.9016999995,177357.050210526,82960.0436999994,72971.2549999999,37214.1349999999,80439.457090911,124170.822428572,91829.5050000002,0,33445.6917142863,42032.5948731533,65310.637777777
"S299",1890736.15823999,2239590.65496428,1138355.23536842,443459.853466661,1763252.6395,1363620.07119999,2098977.85942223,1825574.58251163,863215.932782601,438597.208437496,764756.029999997,1760019.86972727
"S300",475567.160947367,454668.383217393,313202.080363638,42760.4949999994,290317.989293842,282553.309094669,465847.220074073,201251.174999997,161633.041361508,52773.844500001,248775.61903868,289906.258962962
"S301",158831.090399999,84663.3699999994,96751.4299999978,34207.77,46904.6149999998,54525.8125953847,185335.041741329,117739.140431876,66919.8187000015,28002.6521364299,40555.4099999999,56165.5461167088
"S302",68440.415555557,90471.0849999999,30776.0454285707,8584.22394746474,29967.1674015958,57340.3464615373,44956.1900000016,182096.01705,40741.1338660355,25940.8378580043,33389.2749999998,58602.2145625005
"S303",55654.8623333341,83862.0900000007,68907.2416999995,139055.098778253,229379.543583333,136148.601722222,157998.361600001,129045.973333332,49433.6261000011,94455.6332323966,119909.610027735,261218.961722223
"S304",54821.9499999993,26788.1049999994,25756.9721124991,21982.3358904898,5166.88519936325,16345.6751371951,30396.8875000004,51400.8600000003,35253.2575176237,62368.6632857133,12681.1082114738,23178.0492598391
"S305",66097.1013691691,136704.314999999,0,5774.22517805992,29067.0247850917,26132.3686250501,9011.96452509118,15671.5622002891,31980.985428572,7590.74338101712,34846.2899999995,469402.771809524
"S306",312004.522458477,791387.580020206,0,206463.365136067,877238.83999998,618825.836138985,753523.58400001,71244.8219048168,771852.361055842,0,1355906.39666667,3225900.2928
"S307",307910.620000002,82547.4899999999,101906.224874998,117650.432250002,202219.407000004,54365.4396666648,326471.52,137552.545000001,279408.84,109867.719111113,312787.160000002,232203.745
"S308",252062.692416667,942205.119999994,1231356.59323077,131990.946750002,21728.4600000002,41395.1756666667,324127.104916667,4602762.95683335,563284.672000001,421829.547166667,24085.3500000003,61826.8900000007
"S309",29636.405,220502.239999993,124753.541142859,98820.4830476191,0,5417.5972499999,55756.496250001,295835.079999998,87529.7182499984,31015.8224999994,8260.06999999999,4541.62999999999
"S310",45503.8047270499,42297.2549999994,20570.9476245781,30951.0049999993,80552.21717647,39632.0599999999,25192.4724660099,0,54355.5799999999,32946.3799999996,9475.2981679724,8724.44396489078
"S311",416139.361753421,301753.91827797,499969.758416669,146623.284999997,269296.752252655,287467.989000001,311213.616483507,231610.836393858,171043.243094912,90799.7350000032,87837.1900000002,291503.261866669
"S312",47247.3500000017,111659.62,54343.0599999993,0,14356.2870913196,23096.2700000001,69993.059999999,68113.353777777,37910.5599999995,58703.6005714289,27903.9580058526,12597.0736234787
"S313",560758.28000002,1433076.75999999,673763.799999999,275652.84000001,288039.187928567,185984.600000006,1528440.44945454,1176673.32899998,1251412.2675,662565.718285718,0,506851.31115
"S314",42333.4361666672,129218.919999999,46145.3701666673,8610.6300000003,47488.3599999994,63253.0905714296,18425.1326000004,218071.795,47405.0610000006,24631.5349999998,86807.4200000007,46431.9849999997
"S315",63375.1494285725,0,70831.8999999983,83614.8199999968,1188736.43999999,1453405.82399997,12157.5138750002,0,75589.7220000014,103961.385,1350194.36000001,1144878.87999999
"S316",288620.430000001,103496.137874998,64406.0100000002,102106.86,214730.923555553,100607.59,361464.919999989,65509.6145714269,597335.460000004,83453.6249999999,200204.693142852,300934.392888885
"S317",643187.66328205,552288.20399999,762342.800000006,35173.067,8220.50725,22451.4900000002,411268.106117644,1347341.60775,171796.309999998,86070.4166666666,0,5829.33846153848
"S318",58194.5249999994,77861.0320000013,93543.1799999994,10284.3585000002,0,8095.74500000002,46791.9349999997,251424.554181817,22928.8150000008,5308.48000000001,3001.43024999995,3957.60400000008
"S319",0,43953.0342222217,1665911.2,0,1641180.35199998,476135.599999999,0,46557.0093333343,2048935.55999999,1155671.11999997,1513884.25999999,857144.239999999
"S320",181431.696900671,124117.885500002,145069.239999999,224958.4326,172822.950000001,146745.428381771,126549.980816413,176993.674999999,688964.017793108,360394.947227274,249667.579999998,128830.528928867
"S321",84342.0006586149,104034.454874998,117883.570966718,123836.246857143,91278.1467883727,103891.184727272,58324.1993102163,124868.220000001,51086.2950000018,28137.1349999993,105531.08,83577.2599999975
"S322",2745458.50166667,2408965.79993549,1707865.72,709168.04715,663605.53752381,699541.574370369,2321944.32874998,2891003.86766665,1454523.91862499,841845.788952382,833142.450080005,353988.84475
"S323",895842.580000002,721695.190074072,353070.259999997,182905.895083333,95860.3986666655,219040.958083334,712580.722285705,1003527.87806897,480316.457758619,163817.940000002,103800.189999999,85131.3050000002
"S324",279662.167272564,28983.7999999996,175888.272854921,217649.245000001,1058936.87272223,865802.436736847,234319.059203133,408358.524250683,159401.510000001,228665.28,224397.100000003,638888.844821428
"S325",191715.070041985,51162.0232499991,41405.204999999,117523.675,459635.2047,466149.651928571,200800.350090338,255289.742866881,60621.9887076417,207465.789999996,246184.865416667,468712.261838709
"S326",58843.2149375005,33683.4949999998,4741.10746422083,14804.6276371579,22211.2833944584,20395.0800000007,26425.3863556426,4207.64434869939,33193.5507241944,13245.6617687012,8916.15769418599,8651.24455082235
"S327",168422.444571424,665731.219086916,468222.793143685,322095.967584033,147044.269999998,421465.262823527,3271198.26251855,185710.725000001,745601.760365292,450306.417125491,496752.669786266,2304205.25784616
"S328",164073.687916667,89652.5899999988,46342.7799999994,61822.1950000002,46383.4699999994,154761.0354,439081.393242905,52950.2099999996,141163.931999998,66796.9434971337,66877.1449999996,358885.800000002
"S329",3185.78228787695,13296.8364946475,2652.18049256801,0,0,0,58405.7999999996,3722.80832842495,35057.8946250007,0,0,22154.1400000008
"S330",75684.0534578201,277281.845479467,66397.4431666675,62126.7752871568,77497.6485180575,85644.6336000008,440741.559999997,80461.1959071144,0,113276.720166668,160166.795000006,721086.941604675
"S331",0,882226.449000016,1307363.44,1011966.56000001,0,0,0,0,266212.759999996,26398.3163022732,0,0
"S332",0,528721.412571437,583189.425000003,364244.360000013,0,0,0,0,222871.649999999,5305.71769213023,876.573378303267,0
"S333",0,177404.724571431,293518.880000001,214085.740000001,0,0,0,0,46234.7949999989,0,0,0
"S334",0,337676.083636371,832963.195821436,238196.130000001,0,0,0,0,33627.9122893473,0,0,0
"S335",116998.863272727,108615.762933334,60226.6568571413,25916.2176000002,41034.3000000014,169955.62859091,73942.6297142869,82619.4800000005,34301.6685714291,69196.7481999995,87510.1049999994,57073.9849999992
"S336",184898.438266664,91258.4892307695,128645.031383066,104874.884923077,171869.865000003,162656.978427769,271543.430869566,109045.995272727,120925.209251947,64120.0214285698,189555.930000001,216021.644999999
"S337",552701.33099999,973464.237083333,1174366.64275001,1100248.46940987,1458843.20123077,1427119.72615384,1799447.33454546,1299366.12466666,446080.967111106,427339.857777773,1593497.90742858,1925677.02015999
"S338",59247.7699999996,164258.74851563,80624.569714287,85363.0781713994,164345.344999999,105273.30915273,203958.705642858,116261.735452528,85467.4533141451,34949.5799999998,207633.653684278,181585.198722221
"S339",65801.9406594382,29689.615000001,34198.3799999998,46819.8618636335,20222.9299999995,78004.1020000005,130021.571680001,32877.5200000011,37733.7150000001,42812.3017058127,29022.9249999996,87243.2971666671
"S340",109770.695999999,41514.7550000014,165627.840000003,336326.977874997,412648.244999998,594906.428666668,118373.404500002,165896.260000001,106650.307555554,323540.267681819,522885.671024959,591400.8648
"S341",96217.7650000034,982294.160000034,91943.4817777797,269008.271999995,21006.9950000007,42785.534999999,50208.7046471197,148174.199999997,59763.106666666,19630.6430360268,115165.220000001,91987.5700000002
"S342",644907.893624482,1453534.43999999,756690.020000006,239864.039999996,228978.28,568645.880000005,2506306.03878262,913108.640000008,693407.679999995,391577.084999999,296838.008999995,933143.124705892
"S343",324133.79478261,189293.010000002,154300.783333333,16442.9021208075,34797.7749999998,174032.335181819,416735.904607142,327554.149896554,192763.305166667,40386.3899999997,51443.1137142844,65925.8665714296
"S344",1472853.93785185,1270305.96369231,1882420.421,1444112.47331249,632310.080000002,2068757.64102857,1000103.85999999,758860.675000002,1190777.20000002,487697.117714273,387227.39733332,1458531.37344827
"S345",246055.559999994,364309.115863889,753975.104347825,147458.962099999,152506.12,159757.296806961,143745.146792861,403815.724365912,226911.486578409,178239.473374521,239458.066032233,144139.345971703
"S346",298055.637733335,186481.722720261,526511.778,66303.28031311,106551.456037365,30429.3973340668,38660.333844771,94633.9850000033,142159.905000001,77870.4114183442,110429.514222221,105617.155
"S347",98923.6499999987,1449068.26036363,0,508284.923359997,5321.99556496085,65437.3449999999,97821.8900000002,325203.402125003,38083.6498836728,46048.5599999989,94824.9149999999,104271.254999999
"S348",87680.524235295,915426.752724143,57394.8099999998,75325.0149999995,4057.40998143947,6668.87206858142,34068.4849999998,246929.923187498,4986.54039983661,4494.87945114417,75919.9106249987,0
"S349",22848.5459605376,1158447.76457143,185255.31,70127.649999999,63877.7403552625,43536.7350000015,329038.119999998,144495.882029504,225952.843579763,61208.7149999986,129837.095,170824.444999998
"S350",190724.984999998,135720.647199999,134807.535000001,73727.1499999999,36603.7850000013,94959.5050000002,72586.2650000002,98699.10711111,81203.1549999981,52480.7100000003,58680.6201999996,53710.1164444438
"S351",782421.69917241,56075.6182936071,53742.4662431277,35076.3450000012,56951.2131313298,55195.6411428558,740127.487519996,12404.2403566473,46137.2866441063,14107.2583025271,58253.8353385912,63063.2400000002
"S352",1608804.83439999,728263.35999999,221952.966305249,193202.072209586,308522.569763866,610558.336724427,1105115.36,127538.364537726,666740.079999999,243444.260850341,563788.119999996,399675.959999996
"S353",262106.327583333,104257.170000001,41635.5441290164,21326.3466696525,44284.5886222168,56227.08855,260042.228513925,128095.129500549,43507.3546185133,6742.94847328841,20184.1191151537,11215.1886391321
"S354",848764.199384618,634826.599999985,453286.600000001,582534.720782604,229888.822079581,463859.00475,508762.720000001,189174.321424982,258137.360000009,465071.732571431,173790.119999999,154823.884999998
"S355",554704.37100001,237643.685,275482.254999998,0,8601.93465716375,40429.1348835332,501230.002285722,245456.165,132798.824528337,149447.774451288,12465.0222764351,87073.4699999999
"S356",3035567.48485714,2515664.26099998,1058954.05155554,570811.839999992,48206.7936000004,1447940.38687501,2467717.68833334,1195008.96000001,1214078.35733332,2077832.91034285,454726.978222231,1215618.16184616
"S357",46486.8230029061,87486.6542222218,50793.6400000001,16172.1277762177,4814.10339149037,10046.0614407357,72516.2442352949,56120.9000000001,41198.6249999997,15180.884182216,14331.8753022378,6992.68616688037
"S358",298364.12,151039.614225473,139745.11,93686.7684705876,15388.3978771347,71563.833026179,447647.079178571,181071.512178489,160850.031138597,183253.429499999,47768.1408012369,39625.7999999997
"S359",294399.588923078,258299.372046386,236519.564580212,149982.564698348,125463.149959595,156312.751579984,228067.98825,220289.399999995,242029.612944443,156367.24344276,211554.600095164,146894.744878474
"S360",436027.635454547,654924.480296302,588778.688392857,342938.312347823,358421.215056032,386878.081783617,154045.701916667,329630.885999999,584716.98775,397014.478194934,323899.26645,426036.431875002
"S361",147471.514999997,1051955.94913044,219090.930093751,8642.93748761515,30578.6504289117,40426.4703247805,4907.19242799568,1358821.86263637,61319.6268750011,11465.3333574766,20836.9119238726,45350.8496157125
"S362",62795.3039999989,742444.825043477,245856.361473684,153296.475428572,88532.0499999988,49019.7093750009,147997.90523077,405784.327619048,149098.160249997,83291.8025000018,429104.818434784,89730.8399999979
"S363",6571.01509999995,49627.7149999997,77308.640888888,106062.544777777,21190.1000000001,4758.86089999997,11799.3459999999,2895.25000000002,22171.5031999998,56372.3926999996,16862.8750000001,13559.1599999998
"S364",0,1970899.43717646,0,67758.2399999984,0,0,12340.2756666662,413798.519999999,125747.328000001,59463.7400000021,11585.6949999998,159614.35
"S365",1252590.85407999,2391819.13568002,1535138.25094736,974415.817818171,722150.87235,864898.261043482,154182.238476191,520451.518476191,250309.05765,220222.8939,124762.698666667,217797.046687498
"S366",279771.37811111,487576.88906667,391437.15536842,263258.855791665,101040.638055557,131884.128111113,45907.6452777776,133117.7769,38416.1759999997,50993.714722222,7580.57505882361,45505.5050000001
"S367",43605.8726580362,52189.6199999993,112240.838072242,665400.440000004,161720.532338134,60133.4153333341,69138.8102888149,62755.5354876157,402932.328023427,112871.132212011,1275024.27999998,161723.970000001
"S368",63086.7440000002,65703.3949999985,112971.334166667,45231.6300000001,63285.8664990685,50851.8588466564,56366.7411279147,95341.7082857147,54712.4000000003,36581.8491739563,63052.4004805932,58591.4982434139
"S369",528480.782769232,895906.159999994,1540031.30115,748182.724500009,676848.329920004,653355.099428572,1214081.47357894,1017356.63473684,848618.51121429,458903.795199997,553530.457375003,297029.174999998
"S370",91958.2186999993,195024.039999999,138507.086249998,128513.105000002,137346.670727273,106819.075,246480.079384616,188702.171999999,219321.609428572,78514.4849999986,64246.3800000005,68321.639999998
"S371",638963.981250005,698074.510000004,1454631.60282354,593934.469625005,200199.153375004,735163.98141176,1355927.66592858,639784.519999991,1300409.52213334,390974.559999999,279742.519384616,219550.719999995
"S372",93583.1517142834,185800.091454545,398974.206681819,158670.030666667,81417.5600000002,91349.0499999988,310961.642933329,262477.212833333,140088.853333332,297068.1987,45075.1299999999,70133.9099999991
"S373",147442.26622222,265915.744937497,482915.831538465,274602.920869563,35352.7146666671,219144.245333334,343016.172399996,292314.953999999,433526.83809091,67578.2649999991,119146.579999999,95943.8899999999
"S374",77403.5334545452,47150.3199999997,150682.240777777,50754.0413333344,15759.6425162455,47317.6449955604,96938.4885000008,41031.0225000008,64170.9728333333,49812.3850000004,17941.0118838449,35243.5175513137
"S375",43445.3614951332,17183.919315312,42269.9211428561,56053.605000002,51147.3300000003,19699.9442606553,23019.9045051991,48590.1200000017,45492.9849999997,74196.6036999995,11306.6378184118,0
"S376",112455.047249998,34162.3850000012,158059.960571431,165047.171075254,16017.4511016958,30924.3976878721,102966.03333333,31711.5949999998,96258.5909999983,90612.8736000008,37466.1,17504.5442007761
"S377",43978.640181818,30528.3870841488,42780.9324444439,52217.8865454544,14353.9977683621,20872.4218405137,24083.7849999997,28649.109585251,33830.1318333338,83127.0140999999,24305.8211790576,10172.8953108788
"S378",105048.607200002,77351.6899999999,41648.6728571435,5297.72280042607,0,14618.47036046,184743.10725,71852.2799999999,35293.7880000006,55592.8397499995,3833.02688290373,1999.88560061148
"S379",125931.750749998,58191.395000002,100434.568888888,146414.519817088,57590.2039779136,47576.0000000001,165947.654727272,84822.9999999989,104039.635,20954.4230879125,69828.9614321694,42149.5731388757
"S380",1988985.48450002,866534.240000002,343894.796991666,226273.960000008,187850.079999999,139197.360000005,422881.561305727,1368318.66092305,609526.332614304,313321.956571421,388732.03145031,281134.149333333
"S381",172648.595454545,8135.56988635486,38202.8765743041,35046.7322025569,11030.5261061919,43369.2799999997,28026.0339633066,188058.224999994,114622.665399999,83339.2981998156,83046.007705585,49468.0538999996
"S382",513183.694625004,101006.665000004,69002.4149999999,23536.0873732345,5591.63769153365,44308.3073550626,140100.095142854,84496.6185017081,110990.175809347,55369.972124999,19261.5268437311,67584.4995760871
"S383",124052.485142854,0,0,3656.42429994952,0,3808.74855473723,49698.8651249991,33738.2700000001,31355.0425714278,0,6044.16381470962,125879.801279928
"S384",68838.089999998,256091.113090908,16319.3834676894,10816.3032312594,31669.5788571421,0,5519.68328541325,30841.4549999996,32045.5102499994,3252.75010091158,6913.32975861211,0
"S385",92781.0346315787,116924.279999997,20647.0450000007,8712.14362483764,0,0,0,63014.7250000022,8113.80015146746,11472.1954889304,5322.2752183991,0
"S386",248616.16,130193.420400003,59434.0049999996,48467.4014023954,49626.8406153847,39661.7949999997,178521.729846154,124024.168125002,62542.4425837854,32512.8749999992,44977.6372499992,57157.9725000012
"S387",218599.872639999,221040.974833332,65180.6849999999,118330.370709629,88490.9143636361,14576.1168669446,88488.2299999999,160410.970818182,108499.163277777,46442.9399999994,161188.941176469,85125.8639605588
"S388",57333.2412999996,47635.8162857151,64163.4349999996,18440.3926143367,4391.81617811082,15859.2166271637,47037.6399999999,30893.4097142862,13065.6387292567,4820.23567366519,12856.4434548187,31512.6136666656
"S389",12101.6377352239,51213.865333334,0,28889.3816951686,7599.59966694922,0,238693.799999993,41611.9604444453,29415.740000001,0,20489.2695351103,0
"S390",2329676.78787498,2296971.49614705,1364655.69066667,998261.146947366,866690.648531253,332368.44,2732379.44577779,3065029.47076664,579246.405272725,470639.319999999,717904.179388886,628118.317406626
"S391",819461.515636383,190898.7,634090.630687513,589779.639999992,140010.608888887,77497.553053233,756875.950155375,339541.455272726,1575401.77238709,957689.118371914,209721.478908433,56447.0303999972
"S392",253243.392159999,232416.904479999,130572.337110628,53611.8719659971,31671.5051250006,40635.2250000001,291206.743185185,130703.054624998,74337.4446999995,59962.9749999999,43871.971500001,42433.8555325225
"S393",1659973.59,917756.232521743,901416.524999999,500421.65505263,326798.400545453,435892.074428565,164797.63,40858.7200714288,31533.1849999998,49543.2049999993,26710.200857143,51897.5440000001
"S394",347650.665000004,53131.4848000012,16254.09,17850.5291249997,40419.8020999997,44408.4399999997,239114.784999997,256856.032166667,37819.7899999999,9706.12999999999,31552.5746250006,36951.7213333329
"S395",44026.5799999994,49505.5776000004,43156.4400000015,10435.4199999999,4910.96999999997,0,81309.5749999995,85170.4299999994,552031.83999999,1018.81499999999,7134.83499999995,7303.1882857144
"S396",44098.8819999997,249434.409176469,68410.1092631577,11431.8099445315,0,22008.0815912875,61459.1150000007,23831.7431710391,54573.450750001,17397.1146846783,27490.0976327833,6378.31605835155
"S397",102190.872222222,30484.5181666671,38168.7849999991,35352.6395048145,48472.2361181589,15938.6406418958,58142.2945999996,26383.5836890399,43596.2049999999,40941.9650000002,15001.8718322523,7268.12323889442
"S398",61317.8642102024,2117826.38213637,41603.9600000014,38586.6400000001,20598.1145343996,15381.7245665703,51061.2549999999,88093.6328571443,26492.3622617147,19092.1709694266,50241.7035340521,25228.3953031119
"S399",14804.0567335739,33638.11,79049.7150000028,65024.1849999981,18455.5556846813,6588.51848394207,40494.3750000014,42834.4427999997,126768.130000001,35562.5000253824,35038.7849999992,22163.2564481089
"S400",19927.569471513,17082.320205091,92814.092833689,41857.4899999997,31018.1263333322,12736.1677759269,83600.7350000007,63966.4553571432,0,41683.7749999997,8856.25907963161,21698.1599450421
"S401",90820.4464761906,330351.36704348,869606.108742863,47731.6460384716,0,1711.08661292295,41954.6952599317,320253.920191031,370003.56,12956.4504689356,0,16018.6921301821
"S402",303899.525000003,205528.319999999,299295.294999998,52014.5485103348,75735.673877645,0,317980.966285716,60932.5127981432,59775.1749999986,175773.493945739,120717.534287479,79375.2350000028
"S403",63662.6751570631,61150.8099999992,36644.4749999991,0,12458.2710370656,0,88948.3399999994,54879.8550000019,13375.5854068884,0,26490.7550000009,0
"S404",43578.5509601318,48005.3957640628,43601.6641869947,72057.3853999995,69947.6749999984,110766.547125002,34325.0711645544,77719.0287417071,106682.92,42512.1457571867,64971.2181582577,67065.4028243571
"S405",286272.929999995,187114.474639084,164978.911097237,150106.637499995,311322.320000011,241254.621646565,90908.9848856041,277205.32000001,213209.514812623,137012.820825247,204996.283563648,207984.182886065
"S406",1928.86455449026,51767.0699999988,54841.9204999996,105366.281899999,33132.0979683925,70945.8026666681,0,43017.9228571436,49172.3000000017,97332.0450000006,32763.2749999992,53501.0899999999
"S407",435487.123809524,1828189.32141178,1734237.11494736,1677172.87410526,1795369.70971429,1691160.0876,195249.399999995,1535345.60545455,1575698.38330435,862842.405000011,1140786.32213332,1025683.51156249
"S408",40085.9099999999,436602.2706,203937.767999999,389939.72409091,276205.284999999,457671.853555555,41272.1799999997,331483.518476191,135334.547692308,176428.710000002,164154.415000001,427774.61839394
"S409",143322.700000001,51605.3429645423,36826.3668404543,35779.6195555551,32421.7206550867,60108.9471111123,90849.8149999991,13606.8836021187,35265.7099999998,34399.402121983,43376.7531124491,503269.57
"S410",65016.3599999999,46995.7897142865,53042.5449999996,28670.8414856646,59354.0599861279,60977.4827330892,110668.955466667,63388.7599999999,25076.6697168595,25618.953482123,41045.2549999988,20529.2242769314
"S411",2058275.44990476,1121204.97715789,1166843.61529413,1128184.98130435,1590479.16021428,1617680.994,1906525.50124138,1656037.30438095,1033811.68966666,756706.906508363,789360.959999999,1597086.64408696
"S412",747842.963894735,436543.562125002,470537.123294122,260151.125599999,369728.119999995,318637.640933335,640400.423619048,561060.183,381106.099499996,221224.444583333,657965.522559997,127592.884999999
"S413",111300.003166667,47594.7800000001,55652.8619999998,30066.3962913864,57296.2489011866,31112.1999999998,45100.0615000006,59455.5160694602,34170.2099999998,33498.8042829368,63662.6349999999,36840.1000000001
"S414",51646.5649999999,45977.0290909089,66074.1821538463,15062.7605048365,69394.0763766084,67882.6177758785,41634.0092872678,103376.641374999,25470.3749999998,31668.1163294459,70422.7997195046,101591.688315789
"S415",39134.8509651997,19300.619475684,37880.8249999999,65101.6633330019,61301.9627927521,44621.7188588328,35231.1937142863,32175.3704535187,40356.5740467413,42496.6712727271,256713.902869563,77205.274279367
"S416",141494.716315789,12326.9417760925,99164.659999999,39838.6399999997,23907.2467057427,21351.317233481,51144.1999999993,0,7338.5559450204,0,35398.0948333321,15453.9754634774
